index,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,hallux,toes,met1,met3,met5,arch,heelL,heelR
1,[1.82444678],[153.79463818],[6.34486084],[33.0545949],[0.58216652],[0.62158127],[0.14990234],[9746.95019531],[9171.47509766],[4089],[4084],[4095],[4091],[4092],[4088],[4091],[4087]
2,[2.75821875],[153.38760938],[6.22993506],[33.25060339],[0.51771808],[0.42184436],[0.14990234],[421.97509766],[9401.72509766],[4092],[4094],[4087],[4089],[4091],[4086],[4091],[4087]
3,[2.37513281],[153.14339209],[6.85244971],[33.50253821],[0.47297701],[0.14966953],[0.14990234],[421.97509766],[9401.72509766],[4095],[4094],[4087],[4095],[4086],[4095],[4088],[4093]
4,[0.77096045],[152.66932324],[7.35046143],[33.49454874],[0.39840856],[0.1709748],[0.14990234],[191.72509766],[8557.47509766],[4087],[4094],[4085],[4087],[4090],[4094],[4088],[4092]
5,[0.80926904],[152.34848877],[7.45581006],[33.84182465],[0.52943598],[0.47670543],[0.14990234],[230.10009766],[8710.97509766],[4087],[4089],[4089],[4092],[4091],[4089],[4090],[4089]
6,[1.97768115],[152.58791748],[7.78143311],[34.23224374],[0.67590971],[0.49588018],[0.14990234],[345.22509766],[8710.97509766],[4089],[4090],[4087],[4092],[4088],[4090],[4090],[4094]
7,[2.37034424],[152.68368896],[7.9873418],[34.43997013],[0.67857287],[0.37657066],[0.14990234],[345.22509766],[8710.97509766],[4094],[4086],[4088],[4090],[4092],[4086],[4085],[4091]
8,[1.60896094],[153.16254639],[7.84847314],[34.52039752],[0.26897904],[34.82772605],[0.14990234],[959.22509766],[8672.60009766],[4095],[4090],[4090],[4094],[4089],[4089],[4087],[4087]
9,[0.81884619],[152.96621484],[8.23155908],[34.70575338],[34.64609862],[34.43517644],[0.14990234],[882.47509766],[8519.10009766],[4091],[4089],[4087],[4085],[4089],[4091],[4085],[4087]
10,[0.2968916],[151.37161963],[9.53883984],[0.21997692],[34.40108801],[34.32918272],[0.14990234],[882.47509766],[8519.10009766],[4089],[4087],[4094],[4090],[4095],[4089],[4095],[4092]
11,[1.18756641],[150.75868213],[9.807],[1.24529307],[0.27217483],[0.35739592],[0.14990234],[1151.10009766],[8480.72509766],[4087],[4090],[4088],[4095],[4090],[4095],[4090],[4094]
12,[1.23066357],[152.76030615],[7.73833594],[2.35689557],[0.23595587],[0.04420844],[0.14990234],[959.22509766],[8557.47509766],[4088],[4086],[4087],[4085],[4089],[4087],[4094],[4086]
13,[1.09179492],[152.6022832],[6.16768359],[3.41736542],[0.20346534],[34.60828177],[0.14990234],[997.60009766],[9017.97509766],[4091],[4093],[4088],[4087],[4090],[4095],[4089],[4094]
14,[0.00957715],[153.73717529],[6.01444922],[3.88501612],[0.27696852],[34.47033014],[0.14990234],[997.60009766],[9478.47509766],[4090],[4091],[4093],[4089],[4095],[4090],[4095],[4089]
15,[156.57201123],[153.61746094],[6.33049512],[4.20246465],[34.78937657],[34.1645995],[0.14990234],[1266.22509766],[0.],[4090],[4092],[4090],[4089],[4092],[4089],[4095],[4094]
16,[0.1484458],[153.87604395],[8.67689648],[4.05652355],[34.10281422],[33.90520783],[0.14990234],[1573.22509766],[767.5],[4090],[4095],[4090],[4095],[4092],[4095],[4085],[4087]
17,[0.79011475],[155.46585059],[11.81820117],[4.09114461],[0.27963168],[33.75021199],[0.14990234],[1573.22509766],[1151.25],[4088],[4090],[4094],[4090],[4093],[4086],[4095],[4091]
18,[152.31496875],[154.56081006],[9.99375439],[3.97716141],[3.30711065],[33.85247729],[0.14990234],[1573.22509766],[1918.75],[4091],[4088],[4092],[4087],[4086],[4091],[4089],[4095]
19,[145.97010791],[153.01410059],[4.23309961],[3.27195695],[6.46401914],[1.75022799],[0.14990234],[1880.22509766],[2379.25],[4091],[4090],[4087],[4086],[4090],[4095],[4092],[4088]
20,[2.79173877],[150.17447607],[140.41536182],[3.03493581],[1.06313301],[3.43387701],[0.14990234],[2532.60009766],[2379.25],[4084],[4092],[4091],[4092],[4094],[4090],[4095],[4090]
21,[155.76753076],[2.42780713],[15.55807764],[1.27405519],[33.52970243],[34.46500382],[0.14990234],[2877.97509766],[2878.125],[4095],[4095],[4086],[4090],[4089],[4093],[4088],[4090]
22,[147.42583447],[152.4538374],[21.50548682],[0.38509277],[1.83864486],[0.75900027],[0.14990234],[2455.85009766],[2954.875],[4088],[4085],[4095],[4087],[4094],[4087],[4092],[4092]
23,[152.56397461],[153.6988667],[9.71601709],[34.37765221],[33.42743714],[34.65302283],[0.14990234],[2570.97509766],[3108.375],[4085],[4089],[4089],[4092],[4095],[4090],[4093],[4090]
24,[0.93377197],[154.12026123],[4.40069971],[34.7680713],[0.17150743],[0.48682544],[0.14990234],[2993.10009766],[2763.],[4086],[4090],[4095],[4088],[4095],[4090],[4094],[4092]
25,[1.58980664],[155.79626221],[1.71909814],[0.23276008],[0.47670543],[0.58216652],[0.14990234],[2686.10009766],[2609.5],[4085],[4092],[4095],[4092],[4095],[4088],[4092],[4092]
26,[3.19876758],[156.75397705],[0.46928027],[1.66607217],[0.8500803],[0.4410191],[0.14990234],[2877.97509766],[2609.5],[4089],[4089],[4095],[4092],[4095],[4090],[4087],[4087]
27,[1.35995508],[0.79011475],[3.74945361],[2.24237974],[0.79894765],[34.86767344],[0.14990234],[3069.85009766],[2801.375],[4088],[4087],[4088],[4091],[4095],[4089],[4090],[4087]
28,[0.71828613],[2.54273291],[10.09910303],[2.87354839],[0.98643403],[34.61840177],[0.14990234],[2993.10009766],[2647.875],[4092],[4087],[4094],[4085],[4091],[4090],[4095],[4089]
29,[1.41262939],[3.37594482],[9.58193701],[1.43224682],[0.65034339],[34.11027106],[0.14990234],[3223.35009766],[2878.125],[4088],[4086],[4087],[4089],[4093],[4093],[4091],[4088]
30,[156.71087988],[154.46025],[9.26589111],[0.02769685],[0.00958737],[34.89856608],[0.14990234],[1995.35009766],[1266.22509766],[4094],[4091],[4087],[4095],[3940],[4095],[4094],[4094]
31,[156.67257129],[154.45067285],[9.35208545],[0.02663159],[0.01065264],[34.88844608],[0.14990234],[2263.97509766],[1189.47509766],[4095],[4095],[4087],[4094],[3940],[4095],[4092],[4091]
32,[156.73482275],[154.50334717],[9.28025684],[0.02876212],[0.01491369],[34.89590292],[0.14990234],[2263.97509766],[1189.47509766],[4087],[4087],[4090],[4085],[3935],[4024],[4093],[4093]
33,[156.73961133],[154.51771289],[9.35687402],[0.02556632],[0.01384843],[34.88205449],[0.14990234],[1841.85009766],[844.10009766],[4090],[4091],[4095],[4092],[3933],[3955],[4092],[4092]
34,[156.66299414],[154.60390723],[9.30419971],[0.0218379],[0.01118527],[34.89750082],[0.14990234],[2302.35009766],[1151.10009766],[4091],[4087],[4092],[4091],[3936],[3955],[4092],[4087]
35,[156.49539404],[154.55123291],[9.31856543],[0.02077264],[0.01118527],[34.88844608],[0.14990234],[2302.35009766],[1151.10009766],[4091],[4086],[4089],[4093],[3932],[3952],[4087],[4090]
36,[156.66299414],[154.59911865],[9.39997119],[0.03302317],[0.02609896],[34.89164187],[0.14990234],[2340.72509766],[1381.35009766],[4093],[4091],[4083],[4091],[3932],[3952],[4093],[4089]
37,[156.6342627],[154.4794043],[9.26110254],[0.03036001],[0.01810948],[34.89750082],[0.14990234],[2033.72509766],[1342.97509766],[4090],[4086],[4087],[4014],[3925],[3952],[4086],[4092]
